,tag_type,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,release_stage,release_strategy,avg_length,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,release_location_name,hatchery_location_name,release_location_rmis_basin,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown
347,13,2,NaN,2001,20030501,20030509,3F10511 100414 R,3F10511 100414 H,Y,NaN,121,5000,47471,NaN,NaN,5000,118,NaN,NaN,NaN,0.0025,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,47471,0,118,0,0
348,NaN,3,4,2004,20050415,20050415,3F10513 130028 R,3F10511 100027 H,S,NaN,NaN,NaN,NaN,NaN,NaN,5001,12100,0,200,NaN,NaN,DESCHUTES R 13.0028,PUYALLUP HATCHERY,DES,0,0,12100,200,0
349,NaN,2,NaN,2017,20190401,20190405,3F10511 100414 R,3F10511 100414 H,Y,VO,121,NaN,NaN,NaN,NaN,5000,275716,0,2084,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,275716,2084,0
350,NaN,1,3,2006,20070605,20070605,3F10511 100414 R,3F10511 100414 H,NaN,NaN,89,NaN,NaN,NaN,NaN,5000,199068,0,1061,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,199068,1061,0
351,12,1,3,2011,20120528,20120601,3F10511 100414 R,3F10511 100414 H,NaN,VO,82,5000,92000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,92000,0,0,0,0
352,12,1,3,2014,20150601,20150605,3F10511 100414 R,3F10511 100414 H,NaN,VO,81,5000,150042,0,648,5000,180,0,1,NaN,0.0012,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,150042,648,180,1,0
353,NaN,1,3,2007,20080613,20080613,3F10511 100414 R,3F10511 100414 H,NaN,NaN,74,NaN,NaN,NaN,NaN,5000,269835,0,1165,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,269835,1165,0
354,NaN,2,NaN,2019,20210406,20210406,3F10511 100414 R,3F10511 100414 H,Y,VO,123,NaN,NaN,NaN,NaN,5000,270727,NaN,NaN,NaN,NaN,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,0,270727,0,0
355,13,2,NaN,2010,20120406,20120416,3F10511 100414 R,3F10511 100414 H,Y,VO,123,0,45785,NaN,NaN,0,115,NaN,NaN,NaN,0.0025,VOIGHT CR 10.0414,VOIGHTS CR HATCHERY,PUYA,0,45785,0,115,0
356,13,2,NaN,2006,20080303,20080303,3F10511 100600 R02,3F10511 100414 H,Y,NaN,115,5000,92823,0,177,NaN,NaN,NaN,NaN,NaN,NaN,LK KAPOWSIN (PIER),VOIGHTS CR HATCHERY,PUYA,92823,177,0,0,0
