"","season","temperature_difference","flow","flow_difference","lunar_phase","resid","hatchery_day","hatchery_night","AICc","deltaAICc"
"42",NA,NA,-0.035567601801283,0.259963572781696,NA,NA,0.0274918959346579,0.0332616489765597,5166.90143765719,31.8626854249651
"72",NA,NA,-0.0352324232680652,0.258578871571226,-0.00636843585892396,NA,0.0271189106164713,0.033456041880639,5167.21752463587,32.1787724036476
"81",NA,0.0030150328466906,-0.035436660971259,0.260409264447894,NA,NA,0.0274058493253201,0.0332246327576821,5168.94451279206,33.9057605598355
"57",0.0371886571634842,NA,NA,0.251236114856799,NA,0.0153292620803066,NA,NA,5169.08979239668,34.0510401644569
"106",NA,0.00284572603043231,-0.0351098702775416,0.258955750668453,-0.00635071457997687,NA,0.027007823075491,0.0334345405654835,5169.26734466903,34.2285924368007
"87",0.0367348562099945,NA,NA,0.25012447115734,-0.00601372103874668,0.0150888520865129,NA,NA,5169.5518096578,34.5130574255709
"94",0.0369151277166261,0.00789604305141389,NA,0.252373831201415,NA,0.0151889120843255,NA,NA,5170.87945107297,35.8406988407451
"114",0.0364503774036177,0.00778958077552318,NA,0.251204644730612,-0.00598487800294821,0.0149561481198432,NA,NA,5171.35027340676,36.3115211745335
"20",0.031561355455912,NA,NA,0.2535076451678,NA,NA,NA,NA,5175.54860693587,40.5098547036432
"58",0.0278096928264397,NA,NA,0.251212009153847,NA,NA,0.00047010296542611,0.015306918019278,5175.68249352786,40.6437412956402
"88",0.0274055350061245,NA,NA,0.249830003532049,-0.00658634037816679,NA,0.000252392184865014,0.0157332176838246,5175.82024802282,40.7814957905912
"45",0.031143631309275,NA,NA,0.252352550802875,-0.00622761333539664,NA,NA,NA,5175.94841363549,40.909661403266
"54",0.0313409975252398,0.00907725445011339,NA,0.25490208782983,NA,NA,NA,NA,5177.24071559019,42.2019633579694
"95",0.0275731628860037,0.00953881238311675,NA,0.25262605415359,NA,NA,0.000344385846695912,0.0153349164615814,5177.33492534999,42.2961731177647
"115",0.0271812179294498,0.00930565309367683,NA,0.251177323393575,-0.00653133621534552,NA,0.000106248653220044,0.0158021419385474,5177.49306354953,42.4543113173013
