"","season","temperature_difference","flow","flow_difference","lunar_phase","resid","photo_difference","AICc","hatchery","deltaAICc"
"121",NA,-0.0482181404139683,-0.00400538793298672,NA,NA,-0.0372041260786319,-0.0119601195212744,1850.24403278382,NA,16.4808366951936
"118",NA,-0.0518964328484011,-0.00428088203823951,0.0165442977552031,NA,-0.0320164676839634,NA,1850.26835946107,NA,16.5051633724484
"99",NA,-0.0504739163813068,-0.00374290902809354,NA,-0.00926462805040803,-0.0330218051144728,NA,1850.29482868313,NA,16.5316325945123
"19",NA,NA,NA,NA,-0.00931199541458136,-0.0434552240195377,NA,1850.58504128841,NA,16.8218451997834
"4",NA,-0.0700374791605126,NA,NA,NA,NA,NA,1850.74796729958,NA,16.9847712109574
"31",NA,NA,NA,0.0130879650755927,NA,-0.0427897527556215,NA,1850.79213015047,NA,17.0289340618449
"232",NA,-0.0634476087954116,-0.00919316360388169,NA,-0.0106368712511668,-0.0431529047459326,-0.028796379255822,1850.96215812397,0.0329918900897267,17.1989620353434
"30",NA,-0.080595849759386,NA,NA,NA,NA,NA,1851.00600032135,0.0237136659779388,17.2428042327306
"13",NA,NA,0.00494312023039836,NA,NA,-0.0435498519699221,NA,1851.0248426942,NA,17.2616466055781
"239",NA,-0.0650190308900854,-0.00969832756879347,0.0171942533385441,NA,-0.0418645785106237,-0.0284533306037054,1851.03096738278,0.03256202629039,17.267771294162
"245",NA,-0.0589724167183923,NA,0.0128116527937429,-0.00863508706233887,-0.0446128218258314,-0.0269772120641208,1851.04725501009,0.030245527917785,17.2840589214652
"35",NA,NA,NA,NA,NA,-0.043149500445761,NA,1851.06759840407,0.00536870607947227,17.3044023154514
"209",NA,-0.0580710335280615,NA,0.0114028654604368,-0.00730355590765308,-0.0333818722959827,NA,1851.17073740021,0.016977562187156,17.40754131159
"177",NA,-0.0606666332782354,-0.00523067924089493,NA,-0.00877760639662798,-0.0321376699775851,NA,1851.29945219897,0.0184629825930445,17.5362561103507
"92",NA,NA,NA,NA,NA,-0.0533103022322969,-0.0241752044966668,1851.30654257066,0.0178937816654227,17.5433464820376
"194",NA,-0.0618643053294717,-0.00570435628057388,0.0145765373556348,NA,-0.0311866548613985,NA,1851.33064760052,0.018061208277843,17.5674515118976
"208",NA,-0.0463268419988611,NA,0.0147849226556844,-0.00848909017526975,-0.0395097442800492,-0.0133538695003797,1851.35949057173,NA,17.5962944831085
"70",NA,NA,NA,NA,-0.010452349726088,-0.0497622142272528,-0.0165756678594571,1851.484898593,NA,17.7217025043794
"193",NA,-0.0497687278494625,-0.00568470834560202,0.0185037085977129,NA,-0.0371874505175621,-0.013306183655545,1851.66277246101,NA,17.8995763723915
"176",NA,-0.0481407011858256,-0.00503335157181336,NA,-0.0103160508713536,-0.0383544450336538,-0.0132809706123959,1851.69587215222,NA,17.9326760635993
"89",NA,NA,NA,0.015329315419495,NA,-0.0489250878792119,-0.0163909495576892,1851.71131002039,NA,17.9481139317729
"173",NA,-0.0518167960166491,-0.00479740381396003,0.0143637407954631,-0.00789370939074422,-0.0325922673343139,NA,1852.02634183346,NA,18.2631457448358
"11",NA,-0.0738422364113932,-0.0115742984504229,NA,NA,NA,NA,1852.14540527685,NA,18.3822091882269
"55",NA,NA,0.00316577626931568,NA,NA,-0.0488011670255982,-0.0148229757465282,1852.18331691202,NA,18.4201208234017
"51",NA,-0.0850208529752949,-0.0130709381701623,NA,NA,NA,NA,1852.28054258914,0.0244939890101857,18.517346500523
