"","temperature_difference","flow","flow_difference","lunar_phase","resid","photo_difference","hatchery","AICc","deltaAICc"
"118",NA,NA,-0.0191000697213151,-0.0122840452847396,-0.0530493325330109,-0.00993366472455816,0.0610412148981233,1812.08598329687,4.32726053784722
"126",-0.0244870070653257,NA,-0.0198451946944517,-0.0138611813116715,-0.0505625293785775,0.000539825284143135,0.0616073881555769,1812.2546520346,4.49592927558501
"119",-0.0215804203228072,NA,-0.0193788690734354,NA,-0.0508729167743721,5.12404702039032e-05,0.0593855221305626,1812.31291744546,4.55419468644368
"11",NA,-0.0259401981709847,NA,NA,-0.0620865462263759,NA,NA,1826.03920795959,18.2804852005709
"89",-0.0364413852899376,NA,NA,-0.0148240457913959,NA,0.0328709076857573,0.0633180022481284,1826.96351997603,19.2047972170146
"59",-0.0336256288761599,NA,NA,NA,NA,0.0326728612862908,0.0609548828640989,1827.03880812197,19.2800853629537
"41",NA,-0.0248460664835699,NA,NA,-0.0553293007099914,0.0109250935054058,NA,1827.13926177348,19.3805390144612
"104",-0.0375047480909724,-0.0146821299266442,NA,-0.0148703011569066,NA,0.0336971517891703,0.0612925390485499,1827.32135666697,19.5626339079461
"79",-0.0346468403493344,-0.0146344992706702,NA,NA,NA,0.0334974963397129,0.0589062713303757,1827.4155823031,19.6568595440831
"116",-0.0370551835286453,NA,-0.0217305403824535,-0.0149869925695889,NA,0.0330516361128036,0.063084332850862,1827.47743970611,19.7187169470878
"96",-0.0341818130881253,NA,-0.0213017830185567,NA,NA,0.0328363205832286,0.0606966954431592,1827.61670742551,19.8579846664929
"38",NA,-0.0245475728390521,-0.0124286138324308,NA,-0.0617327252752843,NA,NA,1827.63444249479,19.8757197357706
"31",NA,-0.025997106510359,NA,-0.00637733409846455,-0.0620764894614049,NA,NA,1827.65557901685,19.8968562578339
"77",-0.0217396182187707,-0.025317369999053,NA,NA,-0.0533204656980607,0.0202195050578309,NA,1827.7179284347,19.9592056756853
"35",-0.00674424237430274,-0.0263793987343152,NA,NA,-0.0632322057089934,NA,NA,1827.93834464292,20.1796218839045
"122",-0.0378407212499309,-0.0124336833584473,-0.018100100066984,-0.0149957818045901,NA,0.0337425611280898,0.061359023474212,1828.37178069782,20.6130579387957
"111",-0.0349351673668032,-0.0124441102259391,-0.0176592924707832,NA,NA,0.0335235848890933,0.0589675314225285,1828.51626142383,20.7575386648141
"28",NA,NA,NA,NA,NA,0.0201209226055464,0.0607108949039161,1828.62397779088,20.8652550318595
"80",NA,-0.0233572256344482,-0.0131100907576741,NA,-0.0547887458032395,0.0111907178882004,NA,1828.68033631318,20.9216135541633
"71",NA,-0.0249048066758993,NA,-0.00642403230833364,-0.0553142788806912,0.0109489752438868,NA,1828.74806951832,20.9893467593042
"102",-0.0234922940874664,-0.0254204424876431,NA,-0.00790389170241731,-0.0531205197813085,0.0210012768648308,NA,1829.09223800438,21.3335152453587
"53",NA,NA,NA,-0.0124602199256543,NA,0.0193886877835034,0.062705558826868,1829.1530780686,21.3943553095837
"109",-0.0220040941111262,-0.0237700779042193,-0.0135553767730157,NA,-0.0527440919738174,0.0205892718476474,NA,1829.22354117173,21.4648184127072
"43",NA,-0.0135628587322558,NA,NA,NA,0.0205282072509505,0.0587918056429659,1829.22526706491,21.4665443058875
"68",NA,-0.0246562608431488,-0.0126542496604783,-0.00647083750898169,-0.0617153663765041,NA,NA,1829.23684265375,21.4781198947278
"62",NA,NA,-0.0204032221889407,NA,NA,0.0200961188605786,0.0604209437714522,1829.32499660233,21.56627384331
"65",-0.00774088877729073,-0.026489199044003,NA,-0.00684910507679349,-0.0633915592374584,NA,NA,1829.49303542703,21.7343126680146
"74",-0.00675793599820535,-0.0250241688160351,-0.0123937247391924,NA,-0.0628879045214576,NA,NA,1829.54283050796,21.784107748937
"73",NA,-0.0135277377327176,NA,-0.012443825388915,NA,0.0197834086430561,0.0608315638134177,1829.7579537421,21.9992309830852
"92",NA,NA,-0.0206915236207203,-0.0125751880774664,NA,0.0193521383944883,0.0624500044375048,1829.81423671795,22.0555139589273
"7",NA,NA,NA,NA,NA,NA,0.0722350225949251,1829.89069542723,22.1319726682118
"18",NA,NA,NA,-0.0135403929875616,NA,NA,0.0739711290723968,1830.18727157766,22.4285488186431
"105",NA,-0.0233947082838291,-0.0133231776414337,-0.00652056215777342,-0.0547724950719384,0.0112208777658411,NA,1830.27333551505,22.5146127560292
"5",NA,NA,NA,NA,-0.0598023981200994,NA,NA,1830.32302883885,22.5643060798327
"82",NA,-0.0114691095168959,-0.0170287617159456,NA,NA,0.0204519876554991,0.0588438051561181,1830.39336837536,22.6346456163387
"120",-0.0238079825535323,-0.0238400362618737,-0.0138589845424783,-0.00802240643985255,-0.0525282433638126,0.0214181251623339,NA,1830.57314268331,22.8144199242886
"25",NA,NA,-0.0203435335667468,NA,NA,NA,0.0720211044864167,1830.60643328692,22.8477105278969
"13",NA,-0.0130906665603973,NA,NA,NA,NA,0.07066229837988,1830.63586850392,22.8771457448956
"50",NA,NA,-0.0206495240361131,-0.0136558053267893,NA,NA,0.0737606111428498,1830.86069913514,23.1019763761246
"26",NA,NA,NA,NA,-0.0515214888791436,0.013607436616599,NA,1830.88320904114,23.1244862821186
"107",NA,-0.011396171852551,-0.0173454166595974,-0.0125366446473111,NA,0.0197095594898831,0.0608749624458678,1830.89284588446,23.1341231254403
"33",NA,-0.0130783547422176,NA,-0.0135498313119107,NA,NA,0.0723995737650721,1830.92923689061,23.1705141315888
"99",-0.00767270169445641,-0.0250814933725959,-0.0125900280531606,-0.00693157120079775,-0.0630279197225374,NA,NA,1831.08319066571,23.3244679066886
"23",NA,NA,-0.01960213432115,NA,-0.0594312209592617,NA,NA,1831.10840399728,23.3496812382646
"22",-0.0113411802884229,NA,NA,NA,NA,NA,0.074729418122741,1831.45207788081,23.6933551217862
"47",-0.0139357962456271,NA,NA,-0.0147293117452652,NA,NA,0.0771719620936306,1831.48394315977,23.7252204007468
"57",-0.0208685430233948,NA,NA,NA,-0.0494984200757189,0.0225745577649487,NA,1831.59077774827,23.8320549892496
"60",NA,NA,-0.0200007928293741,NA,-0.051034418286385,0.0137775968011923,NA,1831.61436982764,23.8556470686233
"40",NA,-0.0109292549565805,-0.0171153051226032,NA,NA,NA,0.0707114445998035,1831.79878763086,24.040064871836
"16",NA,NA,NA,-0.00608369189176956,-0.0597831874214245,NA,NA,1831.99084527061,24.2321225115927
"70",NA,-0.0108771328191442,-0.0174457192380725,-0.0136422623433854,NA,NA,0.072469425961483,1832.05740937383,24.2986866148071
"86",-0.014271829107252,NA,-0.0210053785542738,-0.0148706773591252,NA,NA,0.0770594405178637,1832.11431853951,24.3555957804917
"56",-0.0116740051131583,NA,-0.0206062260595959,NA,NA,NA,0.0745955056563724,1832.13738957961,24.378666820588
"37",-0.0117366665332762,-0.0133637838732757,NA,NA,NA,NA,0.0732079744421959,1832.16182930265,24.4031065436307
"67",-0.0143335482100142,-0.0134095399723572,NA,-0.0147717846211984,NA,NA,0.0756640293068816,1832.17967225974,24.4209495007226
"94",-0.0213907743486634,NA,-0.0205607810164117,NA,-0.0489461392064842,0.0229727391641245,NA,1832.25052326544,24.4918005064228
"20",-0.00417054949471793,NA,NA,NA,-0.0604816638770106,NA,NA,1832.35146514176,24.5927423827372
"51",NA,NA,NA,-0.00616534923075724,-0.0514862155944654,0.0136548103186787,NA,1832.53819871422,24.7794759552016
"48",NA,NA,-0.0198153758071036,-0.0062609269072309,-0.0593911279215036,NA,NA,1832.75101703093,24.9922942719154
"87",-0.0225194988415985,NA,NA,-0.00757578267413755,-0.0492907943353086,0.0233331063298635,NA,1833.03639634428,25.2776735852622
"54",-0.00429195294002675,NA,-0.0196455696986062,NA,-0.0601268648749479,NA,NA,1833.1357324739,25.3770097148788
"90",NA,NA,-0.0202172959825505,-0.00633480431481906,-0.0510126215910953,0.0138193180472223,NA,1833.24219917177,25.4834764127497
"101",-0.0145267821032511,-0.0111527480216261,-0.0177161611386902,-0.0148806282975213,NA,NA,0.0757989763624779,1833.28270662102,25.5239838620053
"76",-0.0119362505454075,-0.0111532880082888,-0.0173138338707177,NA,NA,NA,0.0733471126776615,1833.30816002251,25.5494372634948
"114",-0.0231156925208286,NA,-0.0208677525219601,-0.00777798667994023,-0.0487566071067285,0.0237597801965669,NA,1833.65442935111,25.8957065920888
"45",-0.00510172674538151,NA,NA,-0.00636789135387424,-0.0606154119367212,NA,NA,1833.98552570278,26.226802943763
"84",-0.00524647784074242,NA,-0.0198775710892751,-0.00653199657499492,-0.0602608119009158,NA,NA,1834.74220551996,26.9834827609407
"36",-0.0349321484677595,-0.0199425190550342,NA,NA,NA,0.0550480374513991,NA,1845.00346692647,37.2447441674508
"75",-0.0351335582576335,-0.0179250371700353,-0.0167771381289998,NA,NA,0.0550715638456287,NA,1846.21425780011,38.4555350410865
