"","season","resid","temperature_difference","flow","flow_difference","lunar_phase","hatchery_day","hatchery_night","AICc","deltaAICc"
"34",0.052514409495676,-0.00683570491241993,NA,-0.0205967727381385,NA,NA,NA,NA,2722.94691625771,18.1227476825238
"86",0.0550194228105469,-0.00790450078873256,NA,NA,NA,-0.00163336145368423,0.00926150590764055,-0.019033977155473,2723.18627387013,18.3621052949502
"99",0.051324351324104,-0.0101602250820692,-0.0462253986499318,-0.0243576420412401,NA,-0.00197549003576517,NA,NA,2723.50782280402,18.6836542288315
"47",0.0565139992841287,NA,NA,NA,NA,-0.00144404041531394,0.0222293716667123,-0.00924741609487739,2724.0198552297,19.1956866545165
"58",0.0565027712975065,NA,-0.00529036542592276,NA,NA,NA,0.0226201544999536,-0.00873009741751289,2724.04383874827,19.2196701730841
"115",0.0548810202243303,-0.00872552324635218,-0.0162870738848968,NA,NA,-0.00155088683180836,0.00926635396771641,-0.0183637058313588,2724.88123091841,20.0570623432259
"64",0.0524751305278276,-0.00688949549427089,NA,-0.0207470801697818,NA,-0.00215984200430905,NA,NA,2724.93283931863,20.1086707434501
"88",0.05650323851017,NA,-0.00504015713468987,NA,NA,-0.00142213174843571,0.0226066878818424,-0.0087268767001054,2726.12896038404,21.3047918088578
"9",0.0514236718469562,NA,NA,-0.0153476204951468,NA,NA,NA,NA,2726.32449827767,21.5003297024896
"35",0.0511354450508952,NA,-0.00874502906613328,-0.0155471828604985,NA,NA,NA,NA,2728.29870971572,23.4745411405338
"29",0.0514104654739232,NA,NA,-0.0153996364919578,NA,-0.00169067429749688,NA,NA,2728.36960819264,23.5454396174564
"19",0.0558218523822789,-0.00440333936711833,NA,NA,NA,NA,NA,NA,2728.44754900167,23.6233804264834
"3",0.0544728967620216,NA,NA,NA,NA,NA,NA,NA,2728.81755928929,23.9933907141049
"54",0.0555013622601344,-0.00608639770695199,-0.0270349483320244,NA,NA,NA,NA,NA,2729.29284159335,24.4686730181629
"65",0.051176624483531,NA,-0.00851628735009955,-0.0155560245469,NA,-0.00162616767095433,NA,NA,2730.3573156657,25.5331470905166
"44",0.0558166144949247,-0.00442853635565013,NA,NA,NA,-0.00166017437209383,NA,NA,2730.4969841321,25.6728155569149
"14",0.0544719736435473,NA,NA,NA,NA,-0.00142120422834343,NA,NA,2730.88821656632,26.0640479911353
"20",0.0543159937208183,NA,-0.00552816633280799,NA,NA,NA,NA,NA,2730.89021474627,26.0660461710881
